"","Date","SWE","Year"
"1",1987-01-01,9.3,1987
"2",1987-01-02,9.3,1987
"3",1987-01-03,9.4,1987
"4",1987-01-04,9.4,1987
"5",1987-01-05,9.5,1987
"6",1987-01-06,10.5,1987
"7",1987-01-07,10.5,1987
"8",1987-01-08,10.7,1987
"9",1987-01-09,10.7,1987
"10",1987-01-10,10.7,1987
"11",1987-01-11,10.7,1987
"12",1987-01-12,10.7,1987
"13",1987-01-13,10.7,1987
"14",1987-01-14,10.7,1987
"15",1987-01-15,10.7,1987
"16",1987-01-16,11.4,1987
"17",1987-01-17,11.6,1987
"18",1987-01-18,11.6,1987
"19",1987-01-19,11.7,1987
"20",1987-01-20,11.8,1987
"21",1987-01-21,11.9,1987
"22",1987-01-22,11.9,1987
"23",1987-01-23,12,1987
"24",1987-01-24,12.2,1987
"25",1987-01-25,12.2,1987
"26",1987-01-26,12.2,1987
"27",1987-01-27,12.2,1987
"28",1987-01-28,12.4,1987
"29",1987-01-29,13.3,1987
"30",1987-01-30,13.4,1987
"31",1987-01-31,13.5,1987
"32",1987-02-01,13.5,1987
"33",1987-02-02,13.5,1987
"34",1987-02-03,13.5,1987
"35",1987-02-04,13.5,1987
"36",1987-02-05,13.5,1987
"37",1987-02-06,13.5,1987
"38",1987-02-07,13.5,1987
"39",1987-02-08,13.5,1987
"40",1987-02-09,13.5,1987
"41",1987-02-10,13.5,1987
"42",1987-02-11,13.7,1987
"43",1987-02-12,13.7,1987
"44",1987-02-13,13.9,1987
"45",1987-02-14,15,1987
"46",1987-02-15,15,1987
"47",1987-02-16,15,1987
"48",1987-02-17,15,1987
"49",1987-02-18,15.3,1987
"50",1987-02-19,15.3,1987
"51",1987-02-20,15.3,1987
"52",1987-02-21,15.2,1987
"53",1987-02-22,15.2,1987
"54",1987-02-23,15.2,1987
"55",1987-02-24,15.2,1987
"56",1987-02-25,16.5,1987
"57",1987-02-26,17.5,1987
"58",1987-02-27,17.8,1987
"59",1987-02-28,17.8,1987
"60",1987-03-01,17.8,1987
"61",1987-03-02,17.8,1987
"62",1987-03-03,17.8,1987
"63",1987-03-04,17.8,1987
"64",1987-03-05,17.8,1987
"65",1987-03-06,17.8,1987
"66",1987-03-07,17.8,1987
"67",1987-03-08,17.8,1987
"68",1987-03-09,18,1987
"69",1987-03-10,18.1,1987
"70",1987-03-11,18.1,1987
"71",1987-03-12,18.1,1987
"72",1987-03-13,18.1,1987
"73",1987-03-14,18.1,1987
"74",1987-03-15,18.1,1987
"75",1987-03-16,18.8,1987
"76",1987-03-17,18.8,1987
"77",1987-03-18,18.8,1987
"78",1987-03-19,19,1987
"79",1987-03-20,20.3,1987
"80",1987-03-21,20.5,1987
"81",1987-03-22,21,1987
"82",1987-03-23,21,1987
"83",1987-03-24,21,1987
"84",1987-03-25,21,1987
"85",1987-03-26,21,1987
"86",1987-03-27,21.1,1987
"87",1987-03-28,21.1,1987
"88",1987-03-29,21.1,1987
"89",1987-03-30,21.1,1987
"90",1987-03-31,21.1,1987
"91",1987-04-01,21.3,1987
"92",1987-04-02,21.3,1987
"93",1987-04-03,21.5,1987
"94",1987-04-04,21.8,1987
"95",1987-04-05,22.6,1987
"96",1987-04-06,22.8,1987
"97",1987-04-07,22.3,1987
"98",1987-04-08,22.3,1987
"99",1987-04-09,22.6,1987
"100",1987-04-10,22.8,1987
"101",1987-04-11,23,1987
"102",1987-04-12,23.8,1987
"103",1987-04-13,24.1,1987
"104",1987-04-14,24.3,1987
"105",1987-04-15,24.3,1987
"106",1987-04-16,24.3,1987
"107",1987-04-17,24.3,1987
